Country Name,Stringent Index,year,Gini Index,GDP per capita,Population Density,Hospital Beds,Quarter_only,Quarter,Marginal Mortality,Gini Category
Finland,32.41,2020,27.1,48828.68469,18.19287688,2.83,Q3,2020Q3,0.3616935432096287,Low
France,49.54,2020,30.7,39169.8606,123.4594937,6.0,Q3,2020Q3,3.1537943681693985,Medium
Georgia,60.19,2020,34.5,4300.857013,65.13027048,4.94,Q3,2020Q3,0.564104272257137,Medium
Germany,49.54,2020,32.4,47379.76519,238.0173188,7.8,Q3,2020Q3,0.6192816330651467,Medium
Hungary,40.74,2020,29.7,16131.95404,106.8392395,6.76,Q3,2020Q3,1.846125633567241,Low
India,70.83,2020,33.8,1907.042516,471.7551502,1.62,Q3,2020Q3,5.794736533678195,Medium
Indonesia,72.69,2020,35.3,3853.702888,146.3712836,1.4,Q3,2020Q3,2.8615628093423444,Medium
Ireland,52.31,2020,29.2,87567.1149,72.36728117,2.91,Q3,2020Q3,1.3639877545993466,Low
Israel,85.19,2020,37.8,44679.77158,425.836414,3.07,Q3,2020Q3,13.857690095603955,Medium
Italy,62.96,2020,35.2,32091.48666,200.9991005,3.18,Q3,2020Q3,1.896066261442369,Medium
Jamaica,75.0,2020,40.2,4879.440246,261.379409,1.71,Q3,2020Q3,3.4266670293516994,High
Kazakhstan,78.7,2020,28.7,8781.507978,7.216400711,6.72,Q3,2020Q3,9.685805705817288,Low
Latvia,34.26,2020,35.7,17564.23215,30.53911297,5.3,Q3,2020Q3,0.3683340094893365,Medium
Lithuania,39.81,2020,36.0,20541.82499,44.63246567,5.96,Q3,2020Q3,0.5724743594101367,Medium
Luxembourg,47.22,2020,33.4,116905.3704,244.8742649,4.19,Q3,2020Q3,2.220745250381096,Medium
Malaysia,54.63,2020,40.7,9957.526267,103.1488601,1.97,Q3,2020Q3,0.04426142117285803,High
Malta,42.59,2020,31.4,31796.82134,1610.4125,4.38,Q3,2020Q3,5.0452911909215805,Medium
Mexico,73.61,2020,44.6,8841.27075,65.22752849,1.0,Q3,2020Q3,39.335466966496455,High
Moldova,37.96,2020,25.7,4375.778893,91.74732605,5.57,Q3,2020Q3,29.410313722662636,Low
Mongolia,42.59,2020,31.4,4001.251931,2.136237218,8.22,Q3,2020Q3,0.0,Medium
Nepal,76.85,2020,30.0,1154.215176,202.0688804,0.28,Q3,2020Q3,1.6191075962245312,Medium
Netherlands,62.04,2020,26.0,53467.92774,518.013068,2.91,Q3,2020Q3,1.8633718430180892,Low
Niger,14.81,2020,32.9,579.5124958,18.72393858,0.27,Q3,2020Q3,0.008432551791784444,Medium
Panama,87.04,2020,50.9,13290.56083,57.87626045,1.92,Q3,2020Q3,40.55192544781228,Very High
Paraguay,81.48,2020,43.5,5365.472207,16.62154291,1.01,Q3,2020Q3,12.720066616806026,High
Peru,85.19,2020,43.7,6133.325524,25.65513984,1.64,Q3,2020Q3,134.7104574774688,High
Philippines,67.13,2020,40.7,3227.579102,375.8971862,0.99,Q3,2020Q3,3.781185051588997,High
Poland,23.15,2020,28.5,15987.57537,123.8005749,6.11,Q3,2020Q3,2.7705165324637253,Low
Portugal,58.33,2020,34.7,22299.40441,112.406676,3.53,Q3,2020Q3,3.8360385821962555,Medium
Romania,43.52,2020,34.6,13082.30066,83.73283206,7.06,Q3,2020Q3,16.475259859072683,Medium
Serbia,54.63,2020,35.0,8098.709557,82.04454751,5.35,Q3,2020Q3,6.841446293342084,Medium
Slovenia,50.0,2020,24.0,25392.06511,104.4088814,4.25,Q3,2020Q3,1.8550060668211235,Low
Spain,60.65,2020,34.9,27230.35999,94.81538375,2.95,Q3,2020Q3,7.254201382837417,Medium
Suriname,67.59,2020,39.2,4755.392217,3.81487831,2.89,Q3,2020Q3,14.861583134226226,Medium
Sweden,55.56,2020,28.9,52653.75659,25.42094382,2.05,Q3,2020Q3,5.4088292569756025,Low
Switzerland,43.06,2020,33.7,85897.78433,218.6344696,4.48,Q3,2020Q3,1.1460764766413987,Medium
Thailand,47.22,2020,35.0,6985.643939,140.2287851,2.33,Q3,2020Q3,0.0013958393156680003,Medium
Tunisia,23.15,2020,33.7,3548.653637,77.07297245,2.38,Q3,2020Q3,1.7955484928792305,Medium
Ukraine,58.8,2020,25.6,3709.769287,77.11428029,6.26,Q3,2020Q3,6.821842088053061,Low
United Kingdom,67.59,2020,32.6,40201.68124,277.2753854,2.43,Q3,2020Q3,3.86248112251483,Medium
Uruguay,43.52,2020,40.2,15789.68574,19.42045481,2.49,Q3,2020Q3,0.6178345897931372,High
Uzbekistan,43.52,2020,31.2,1978.280519,76.22006581,4.78,Q3,2020Q3,1.3219647540377388,Medium
Albania,56.48,2020,29.4,5370.778623,103.5711314,2.91,Q4,2020Q4,27.978937568559846,Low
Argentina,79.17,2020,42.7,8535.59938,16.51336651,3.2,Q4,2020Q4,58.213888243186595,High
Austria,82.41,2020,29.8,48716.40989,108.0570044,7.06,Q4,2020Q4,72.80586538047457,Low
Belgium,60.19,2020,26.0,45906.28758,378.3893225,5.52,Q4,2020Q4,82.43631551962439,Low
Benin,35.19,2020,34.4,1197.501364,115.9113959,0.47,Q4,2020Q4,0.022953031441291998,Medium
Bhutan,81.94,2020,28.5,3191.66907,20.1889355,2.12,Q4,2020Q4,0.0,Low
Bolivia,52.78,2020,43.6,3099.94219,10.90768854,1.36,Q4,2020Q4,10.155464075511292,High
Brazil,64.35,2020,48.9,7074.193783,24.96498527,2.43,Q4,2020Q4,24.438701344835945,High
Bulgaria,53.7,2020,40.5,10198.53883,63.87265107,7.77,Q4,2020Q4,97.36062007365142,High
Burkina Faso,13.89,2020,37.4,825.2370388,78.50398392,0.2,Q4,2020Q4,0.1257059904491382,Medium
Chile,79.17,2020,47.0,13114.81547,26.0521726,2.03,Q4,2020Q4,19.96321853131835,High
China,78.24,2020,37.1,10408.71955,150.3055428,5.0,Q4,2020Q4,0.004818935582169938,Medium
